OTU_ID,D2,D3,D4,D5,D6,G1,G2,G3,G4,G5
OTU1,0,0,0,0,0,0,0,0,0,0
OTU2,0,0,1,0,0,1,4,6,0,0
OTU3,0,0,1,0,5,5,12,33,0,0
OTU4,1,0,0,1,1,1,1,3,1,0
OTU5,5,1,5,8,1,3,4,10,1,1
OTU6,0,3,5,2,1,3,2,0,1,1
OTU7,0,0,0,2,2,1,0,1,0,0
OTU8,3,1,2,3,2,0,2,7,2,8
OTU9,51,12,6,3,1,6,3,14,10,16
OTU10,8,6,0,0,0,1,5,3,0,0
OTU11,56,1,0,4,2,5,9,5,15,23
OTU12,2,0,0,0,0,1,0,1,0,0
OTU13,14,6,2,7,15,0,1,0,4,0
OTU14,67,0,0,1,4,0,1,0,179,25
OTU15,4,0,3,0,3,2,7,2,9,10
OTU16,14,6,1,0,1,1,0,2,6,1
OTU17,23,0,0,0,0,0,0,0,0,0
OTU18,9,2,1,0,0,1,0,2,1,0
OTU19,51,2,3,1,0,0,4,1,0,0
OTU20,47,10,3,7,11,2,10,17,27,20
OTU21,40,5,0,5,12,1,2,4,19,7
OTU22,67,0,0,1,0,0,1,0,20,42
OTU23,34,12,7,3,2,36,3,9,14,9
OTU24,6,1,0,0,10,0,0,2,3,0
OTU25,31,0,0,0,0,0,0,1,0,0
OTU26,30,2,2,7,15,2,1,3,2,3
OTU27,2,0,0,0,0,1,0,3,0,0
OTU28,55,4,8,0,0,0,48,7,0,14
OTU29,4,0,0,1,2,0,0,2,0,0
OTU30,10,3,0,0,0,0,0,1,1,0
OTU31,2,4,1,0,0,0,0,0,0,0
OTU32,11,2,0,1,0,1,3,7,11,10
OTU33,8,5,2,5,1,0,2,1,2,5
OTU34,19,0,0,0,0,0,0,0,0,0
OTU35,25,4,4,4,14,7,7,10,6,5
OTU36,42,0,0,0,0,0,1,0,0,0
OTU37,3,0,0,0,0,1,0,0,0,0
OTU38,572,28,40,100,28,70,141,112,52,31
OTU39,18,0,1,2,0,3,2,8,3,13
OTU40,31,4,0,0,0,0,0,0,1,1
OTU41,21,8,0,0,2,3,2,1,8,7
OTU42,17,1,5,1,1,4,2,4,4,1
OTU43,524,30,0,10,41,2,25,64,1,2
OTU44,1,0,0,1,1,1,2,3,0,0
OTU45,46,4,0,1,1,1,0,18,16,17
OTU46,5,2,3,0,1,0,0,2,0,1
OTU47,32,0,0,0,7,0,1,0,0,0
OTU48,24,4,1,0,0,2,3,14,0,3
OTU49,3,2,0,2,2,1,0,1,1,2
OTU50,12,2,1,0,0,0,1,1,6,10
OTU51,652,4,0,2,0,1,4,4,67,5
OTU52,20,1,2,1,2,0,0,58,16,7
OTU53,35,7,1,7,8,1,4,8,5,6
OTU54,0,2,2,1,0,0,0,0,0,0
OTU55,0,1,2,0,33,0,0,1,0,0
OTU56,0,14,2,0,7,0,0,0,0,0
OTU57,0,5,1,0,0,1,0,3,1,2
OTU58,2,3,0,0,1,2,1,3,0,1
OTU59,0,3,10,1,0,2,0,3,1,0
OTU60,8,2,1,2,3,2,3,6,3,3
OTU61,0,9,0,0,0,2,4,0,0,0
OTU62,6,5,0,12,8,0,0,2,1,5
OTU63,0,5,4,3,2,2,2,8,0,0
OTU64,3,2,1,27,19,5,4,9,0,0
OTU65,1,1,0,0,0,0,0,3,1,2
OTU66,2,4,0,2,1,0,0,7,1,0
OTU67,1,7,3,7,18,6,5,15,1,0
OTU68,26,12,3,14,4,5,5,11,10,3
OTU69,1,0,5,12,0,1,0,0,0,0
OTU70,3,1,3,0,1,0,0,1,9,0
OTU71,237,132,184,36,59,269,46,326,152,102
OTU72,91,9,20,17,18,9,3,9,16,12
OTU73,0,2,11,1,3,2,9,14,0,0
OTU74,46,7,10,6,5,6,7,4,21,17
OTU75,1,2,1,2,9,2,7,7,5,4
OTU76,7,5,4,10,8,12,5,6,10,7
OTU77,39,42,25,7,60,8,25,72,56,74
OTU78,14,6,23,5,7,2,2,12,6,12
OTU79,16,7,7,5,0,1,2,2,7,15
OTU80,18,0,11,2,3,3,1,2,0,0
OTU81,56,19,41,91,37,61,85,57,20,34
OTU82,33,40,51,59,23,17,26,55,16,8
OTU83,1,6,9,1,0,1,2,1,0,0
OTU84,80,5,5,10,0,2,4,6,0,0
OTU85,0,9,2,0,8,1,0,0,2,15
OTU86,13,876,519,44,229,3,0,4,2,6
OTU87,0,118,93,1,1,0,17,0,1,2
OTU88,1,7,15,6,1,5,4,2,1,3
OTU89,23,42,56,15,3,28,33,35,22,51
OTU90,0,0,5,0,0,0,0,0,0,0
OTU91,0,1,1,2,3,0,0,2,0,0
OTU92,29,11,11,4,2,40,13,9,23,48
OTU93,92,2,5,15,0,2,83,73,9,44
OTU94,10,1,2,2,0,9,5,16,0,0
OTU95,7,4,6,0,5,1,2,6,2,5
OTU96,68,22,37,2,2,19,9,115,28,21
OTU97,2,3,7,5,1,0,0,5,0,4
OTU98,20,17,28,7,7,6,29,19,9,3
OTU99,7,1,1,3,13,2,9,15,8,6
OTU100,1,0,2,1,0,0,0,0,2,2
OTU101,11,4,5,0,1,3,0,1,3,3
OTU102,2,0,2,0,0,1,0,2,1,0
OTU103,26,7,17,13,11,2,14,13,52,14
OTU104,4,8,10,3,4,2,7,8,2,1
OTU105,1,43,68,13,104,14,8,6,11,15
OTU106,27,12,8,14,17,9,9,15,18,11
OTU107,8,4,16,10,4,6,5,2,1,11
OTU108,23,4,13,10,3,0,10,5,24,4
OTU109,41,1,9,2,0,1,0,0,0,2
OTU110,15,0,4,2,6,2,10,4,2,0
OTU111,58,90,102,85,71,73,54,66,10,8
OTU112,0,267,36,7,3,36,84,214,8,2
OTU113,74,17,57,11,13,33,59,14,29,27
OTU114,0,45,224,23,2,1,0,2,0,1
OTU115,0,5,2,1,0,1,0,1,0,0
OTU116,2,2,3,4,5,7,2,52,8,22
OTU117,0,34,13,1,0,0,15,0,2,0
OTU118,15,8,70,8,1,3,5,5,0,2
OTU119,374,22,18,38,16,14,21,35,1,1
OTU120,684,171,195,77,67,54,94,118,297,230
OTU121,0,35,51,1,0,1,3,0,0,0
OTU122,100,149,636,169,109,6,6,8,2,1
OTU123,0,1,1,1,0,0,0,0,0,0
OTU124,11,9,4,4,18,2,2,4,0,0
OTU125,378,110,59,43,155,18,20,22,14,13
OTU126,8,5,11,13,2,8,11,13,71,35
OTU127,5,3,10,4,10,1,3,11,1,2
OTU128,2,18,21,9,8,3,22,7,3,18
OTU129,1,1,4,0,0,1,5,3,0,0
OTU130,2,3,13,4,0,0,4,13,6,7
OTU131,0,2,14,2,1,0,4,4,0,0
OTU132,65,13,8,26,22,17,17,35,25,31
OTU133,0,6,40,2,0,2,20,108,1,1
OTU134,22,4,3,2,0,2,6,1,4,3
OTU135,1,63,158,3,17,15,28,29,2,2
OTU136,14,0,5,1,1,0,1,0,1,1
OTU137,0,0,18,0,0,0,0,0,0,0
OTU138,39,2,6,14,8,12,12,6,39,21
OTU139,4,1,4,42,7,1,11,14,6,2
OTU140,95,8,1,17,32,7,9,47,70,19
OTU141,16,2,3,19,28,7,2,16,2,3
OTU142,346,127,90,187,104,16,37,46,52,63
OTU143,1,164,37,125,67,204,109,251,10,22
OTU144,15,8,10,16,5,9,16,9,72,111
OTU145,0,4,7,21,10,2,52,4,0,0
OTU146,4,8,13,19,20,8,15,29,0,1
OTU147,21,2,8,7,19,2,17,17,16,1
OTU148,34,11,3,5,0,4,4,10,0,14
OTU149,0,1,0,4,0,1,1,5,1,10
OTU150,7,0,2,2,7,0,0,2,7,2
OTU151,1,32,101,7,145,4,129,234,45,69
OTU152,0,3,0,10,53,1,0,1,0,1
OTU153,36,2,4,54,1,11,3,10,2,1
OTU154,0,8,3,15,10,1,2,14,3,2
OTU155,369,168,119,370,850,142,430,269,452,448
OTU156,253,247,309,215,160,46,211,166,204,286
OTU157,0,7,9,4,2,1,1,5,2,1
OTU158,151,47,37,108,56,19,34,47,121,123
OTU159,506,183,171,35,70,22,30,93,80,58
OTU160,13,6,18,41,79,52,6,240,2,7
OTU161,15,6,1,8,2,8,6,8,9,7
OTU162,70,61,103,41,10,9,89,64,53,34
OTU163,13,4,2,7,0,3,1,5,8,17
OTU164,185,53,64,101,252,81,90,87,56,84
OTU165,9,0,16,10,2,4,1,5,3,6
OTU166,1,1,2,3,6,0,0,2,2,1
OTU167,9,9,15,27,30,6,10,11,7,3
OTU168,1,84,23,85,2,3,5,16,0,3
OTU169,133,42,144,77,92,11,8,6,63,36
OTU170,14,14,0,51,22,4,3,20,0,0
OTU171,30,79,738,290,21,26,56,28,83,28
OTU172,3,77,19,26,34,28,15,21,78,43
OTU173,0,1,1,9,20,3,5,7,2,2
OTU174,12,21,16,60,34,7,20,10,5,4
OTU175,1,10,3,4,1,1,4,8,1,4
OTU176,0,0,0,19,0,0,0,1,0,0
OTU177,123,36,34,29,6,14,50,40,20,8
OTU178,1,44,3,38,16,953,105,636,7,9
OTU179,33,6,24,15,7,14,27,27,7,10
OTU180,252,166,175,56,41,31,38,94,43,12
OTU181,190,291,195,1661,2005,245,86,132,311,254
OTU182,6,33,5,147,17,8,6,16,7,3
OTU183,0,7,1,78,1,31,0,27,2,1
OTU184,0,0,0,9,6,2,1,7,1,0
OTU185,9,102,63,17,25,12,62,45,13,36
OTU186,2,0,0,5,1,0,1,0,0,7
OTU187,1,37,1,60,240,9,179,99,3,2
OTU188,4,13,4,21,58,6,0,3,2,1
OTU189,8,4,21,82,0,6,1,1,1,3
OTU190,0,0,0,21,11,11,22,31,0,0
OTU191,1,10,29,13,7,57,40,16,7,54
OTU192,5088,6684,4391,9385,10896,643,730,753,1629,450
OTU193,1,41,13,15,190,5,36,109,0,3
OTU194,0,0,0,3,0,0,0,0,0,0
OTU195,75,2,4,4,11,9,130,20,79,91
