SampleID,name,value,group
A1,Tjp1,28.69,Ahrfl/fl
A1,Tjp2,24.84,Ahrfl/fl
A1,Tjp3,53.53,Ahrfl/fl
A1,Cldn1,3.31,Ahrfl/fl
A1,Cldn2,73.56,Ahrfl/fl
A1,Cldn3,184.82,Ahrfl/fl
A1,Cldn4,13.27,Ahrfl/fl
A1,Cldn5,5.82,Ahrfl/fl
A1,Cldn7,391.16,Ahrfl/fl
A1,Cldn8,48.99,Ahrfl/fl
A1,Cldn10,0.12,Ahrfl/fl
A1,Cldn12,23.5,Ahrfl/fl
A1,Cldn14,6.78,Ahrfl/fl
A1,Cldn15,19.31,Ahrfl/fl
A1,Cldn23,10,Ahrfl/fl
A1,Occln,58.65,Ahrfl/fl
A2,Tjp1,22.71,Ahrfl/fl
A2,Tjp2,20.59,Ahrfl/fl
A2,Tjp3,53.61,Ahrfl/fl
A2,Cldn1,1.24,Ahrfl/fl
A2,Cldn2,77.69,Ahrfl/fl
A2,Cldn3,183.21,Ahrfl/fl
A2,Cldn4,5.62,Ahrfl/fl
A2,Cldn5,5.68,Ahrfl/fl
A2,Cldn7,417.07,Ahrfl/fl
A2,Cldn8,23.53,Ahrfl/fl
A2,Cldn10,0.29,Ahrfl/fl
A2,Cldn12,27.78,Ahrfl/fl
A2,Cldn14,2.73,Ahrfl/fl
A2,Cldn15,81.19,Ahrfl/fl
A2,Cldn23,14.72,Ahrfl/fl
A2,Occln,36.41,Ahrfl/fl
A3,Tjp1,27.47,Ahrfl/fl
A3,Tjp2,28.55,Ahrfl/fl
A3,Tjp3,67.84,Ahrfl/fl
A3,Cldn1,1.25,Ahrfl/fl
A3,Cldn2,52.86,Ahrfl/fl
A3,Cldn3,215.32,Ahrfl/fl
A3,Cldn4,22.93,Ahrfl/fl
A3,Cldn5,3.76,Ahrfl/fl
A3,Cldn7,499.34,Ahrfl/fl
A3,Cldn8,26.82,Ahrfl/fl
A3,Cldn10,0.32,Ahrfl/fl
A3,Cldn12,26.25,Ahrfl/fl
A3,Cldn14,2.84,Ahrfl/fl
A3,Cldn15,80.76,Ahrfl/fl
A3,Cldn23,27.61,Ahrfl/fl
A3,Occln,40.17,Ahrfl/fl
B1,Tjp1,49.41,Ahrfl/fl+IAA
B1,Tjp2,22.85,Ahrfl/fl+IAA
B1,Tjp3,64.61,Ahrfl/fl+IAA
B1,Cldn1,0.56,Ahrfl/fl+IAA
B1,Cldn2,82,Ahrfl/fl+IAA
B1,Cldn3,229.38,Ahrfl/fl+IAA
B1,Cldn4,8.07,Ahrfl/fl+IAA
B1,Cldn5,2.88,Ahrfl/fl+IAA
B1,Cldn7,503.89,Ahrfl/fl+IAA
