group,name,value
OldAhrfl/fl,p16,1.152753138
OldAhrfl/fl,p16,0.968410053
OldAhrfl/fl,p16,0.774606541
OldAhrfl/fl,p16,1.294251277
OldAhrfl/fl,p16,1.268355988
OldAhrfl/fl,p16,0.704471571
OldAhrfl/fl+IAA,p16,0.613092965
OldAhrfl/fl+IAA,p16,0.444592511
OldAhrfl/fl+IAA,p16,0.905087429
OldAhrfl/fl+IAA,p16,0.248953747
OldAhrfl/fl+IAA,p16,0.659324661
OldAhrfl/fl+IAA,p16,0.707058113
OldAhrIEC,p16,4.008342332
OldAhrIEC,p16,5.385109963
OldAhrIEC,p16,4.124133208
OldAhrIEC,p16,2.539309755
OldAhrIEC,p16,5.11044729
OldAhrIEC,p16,2.599671741
OldAhrIEC+IAA,p16,3.708545906
OldAhrIEC+IAA,p16,2.580554766
OldAhrIEC+IAA,p16,5.533601445
OldAhrIEC+IAA,p16,4.000486731
OldAhrIEC+IAA,p16,5.566844528
OldAhrIEC+IAA,p16,4.240538066
OldAhrfl/fl,p21,1.276018253
OldAhrfl/fl,p21,0.832951249
OldAhrfl/fl,p21,1.167778749
OldAhrfl/fl,p21,0.95230618
OldAhrfl/fl,p21,0.959102579
OldAhrfl/fl,p21,0.882107064
OldAhrfl/fl+IAA,p21,0.365654774
OldAhrfl/fl+IAA,p21,0.583711083
OldAhrfl/fl+IAA,p21,0.354428242
OldAhrfl/fl+IAA,p21,0.525404152
OldAhrfl/fl+IAA,p21,0.430234232
OldAhrfl/fl+IAA,p21,0.422261628
OldAhrIEC,p21,1.102872875
OldAhrIEC,p21,1.305001084
OldAhrIEC,p21,1.318372971
OldAhrIEC,p21,1.201191331
OldAhrIEC,p21,1.315369747
OldAhrIEC,p21,0.923369802
OldAhrIEC+IAA,p21,0.781700729
OldAhrIEC+IAA,p21,1.086460154
OldAhrIEC+IAA,p21,1.945355484
OldAhrIEC+IAA,p21,0.993623346
OldAhrIEC+IAA,p21,1.085343225
OldAhrIEC+IAA,p21,1.392455527
OldAhrfl/fl,Ptprh,1.095828839
OldAhrfl/fl,Ptprh,1.140593426
OldAhrfl/fl,Ptprh,1.030058401
OldAhrfl/fl,Ptprh,0.935697036
