group,name,value
Young,p16,1.144129807
Young,p16,0.747807426
Young,p16,0.825067699
Young,p16,1.286826767
Young,p16,0.791378613
Young,p16,1.391044251
Old,p16,2.446389067
Old,p16,1.699426196
Old,p16,2.478864937
Old,p16,5.360713199
Old,p16,3.057303014
Old,p16,6.322045812
Old+IAA,p16,1.494515871
Old+IAA,p16,1.011183798
Old+IAA,p16,0.869153227
Old+IAA,p16,1.464308181
Old+IAA,p16,1.520405958
Old+IAA,p16,1.317878056
Young,p21,0.60097957
Young,p21,1.294627431
Young,p21,0.706450512
Young,p21,1.46186193
Young,p21,1.293481171
Young,p21,0.96215995
Old,p21,2.246602607
Old,p21,3.307505629
Old,p21,2.853643876
Old,p21,2.073217703
Old,p21,3.577283966
Old,p21,2.870535121
Old+IAA,p21,1.247001883
Old+IAA,p21,1.074849656
Old+IAA,p21,0.915692818
Old+IAA,p21,0.815385568
Old+IAA,p21,1.408469717
Old+IAA,p21,1.866622309
Young,Prpht,0.974113228
Young,Prpht,0.91555845
Young,Prpht,0.985369172
Young,Prpht,0.83100473
Young,Prpht,1.106299325
Young,Prpht,1.237739838
Old,Prpht,2.174884247
Old,Prpht,1.684030371
Old,Prpht,2.564711303
Old,Prpht,1.912157035
Old,Prpht,1.62271902
Old,Prpht,1.850420285
Old+IAA,Prpht,1.105188301
Old+IAA,Prpht,1.079490784
Old+IAA,Prpht,1.860827032
Old+IAA,Prpht,1.02478927
Old+IAA,Prpht,0.846588364
Old+IAA,Prpht,0.707681634
Young,Zo-1,1.245913165
Young,Zo-1,1.293813539
Young,Zo-1,1.22191388
Young,Zo-1,1.29549607
Young,Zo-1,1.361157259
Young,Zo-1,1.073238469
Old,Zo-1,0.700701417
Old,Zo-1,0.612492746
Old,Zo-1,0.739354765
Old,Zo-1,0.637765965
Old,Zo-1,0.725611684
Old,Zo-1,0.666440031
Old+IAA,Zo-1,1.545707446
Old+IAA,Zo-1,2.298777286
Old+IAA,Zo-1,1.088314185
Old+IAA,Zo-1,1.160762351
Old+IAA,Zo-1,1.52195988
Old+IAA,Zo-1,1.623930166
Young,Occludin,0.936710984
Young,Occludin,0.785267754
Young,Occludin,0.939032141
Young,Occludin,1.42557057
Young,Occludin,0.887532173
Young,Occludin,1.144256371
Old,Occludin,0.83060199
Old,Occludin,0.942842472
Old,Occludin,0.999096111
Old,Occludin,0.620730277
Old,Occludin,1.286822797
Old,Occludin,0.912523282
Old+IAA,Occludin,0.962408455
Old+IAA,Occludin,1.107327041
Old+IAA,Occludin,0.740501261
Old+IAA,Occludin,0.830729381
Old+IAA,Occludin,1.439230001
Old+IAA,Occludin,1.040977964
Young,E-cadherin,1.098597046
Young,E-cadherin,1.522177458
Young,E-cadherin,1.447552177
Young,E-cadherin,1.405650452
Young,E-cadherin,1.546969079
Young,E-cadherin,1.555116063
Old,E-cadherin,0.177551536
Old,E-cadherin,0.239490764
Old,E-cadherin,0.216866655
Old,E-cadherin,0.151325051
Old,E-cadherin,0.565842622
Old,E-cadherin,0.400329153
Old+IAA,E-cadherin,1.68591599
Old+IAA,E-cadherin,1.287777779
Old+IAA,E-cadherin,1.373311601
Old+IAA,E-cadherin,1.996309866
Old+IAA,E-cadherin,1.248630897
Old+IAA,E-cadherin,1.963268243
Young,Claudin10,1.098597046
Young,Claudin10,1.522177458
Young,Claudin10,1.447552177
Young,Claudin10,1.405650452
Young,Claudin10,1.546969079
Young,Claudin10,1.555116063
Old,Claudin10,0.177551536
Old,Claudin10,0.239490764
Old,Claudin10,0.216866655
Old,Claudin10,0.151325051
Old,Claudin10,0.565842622
Old,Claudin10,0.400329153
Old+IAA,Claudin10,3.37183198
Old+IAA,Claudin10,2.575555558
Old+IAA,Claudin10,2.746623201
Old+IAA,Claudin10,3.992619732
Old+IAA,Claudin10,2.497261794
Old+IAA,Claudin10,3.926536487
Young,Mucin2,1.10961441
Young,Mucin2,0.644211353
Young,Mucin2,0.789177731
Young,Mucin2,1.322843449
Young,Mucin2,1.160766699
Young,Mucin2,1.154439891
Old,Mucin2,1.96537883
Old,Mucin2,1.7235611
Old,Mucin2,0.800007267
Old,Mucin2,1.148120244
Old,Mucin2,0.805952189
Old,Mucin2,1.244737353
Old+IAA,Mucin2,1.39789225
Old+IAA,Mucin2,1.587347537
Old+IAA,Mucin2,0.874507724
Old+IAA,Mucin2,1.323949213
Old+IAA,Mucin2,1.880379394
Old+IAA,Mucin2,0.984624509
