group,name,value
Young,Tjp1,0.902566096
Young,Tjp1,0.929954283
Young,Tjp1,0.865914303
Young,Tjp1,1.0655146
Young,Tjp1,1.029619587
Young,Tjp1,0.918871744
Young,Tjp1,0.845596542
Old,Tjp1,0.394433524
Old,Tjp1,0.547150149
Old,Tjp1,0.388793858
Old,Tjp1,0.534077638
Old,Tjp1,0.721263732
Old,Tjp1,0.429548047
Old,Tjp1,0.458904091
Old+IAA,Tjp1,0.790532292
Old+IAA,Tjp1,0.684950219
Old+IAA,Tjp1,1.2445542
Old+IAA,Tjp1,0.684627918
Old+IAA,Tjp1,0.531505916
Old+IAA,Tjp1,0.972773928
Old+IAA,Tjp1,0.609574059
Young,Tjp2,0.449222811
Young,Tjp2,1.254987676
Young,Tjp2,1.077670484
Young,Tjp2,0.955908471
Young,Tjp2,0.769147612
Young,Tjp2,0.577830993
Young,Tjp2,1.747904247
Old,Tjp2,0.722721413
Old,Tjp2,0.302558487
Old,Tjp2,0.291161364
Old,Tjp2,0.857842107
Old,Tjp2,0.567868315
Old,Tjp2,0.593520598
Old+IAA,Tjp2,1.856473873
Old+IAA,Tjp2,1.122185753
Old+IAA,Tjp2,1.005008783
Old+IAA,Tjp2,1.213669253
Old+IAA,Tjp2,1.303971123
Young,Tjp3,0.815478549
Young,Tjp3,1.146607836
Young,Tjp3,1.090151465
Young,Tjp3,0.923744539
Young,Tjp3,0.897052213
Young,Tjp3,1.338925844
Young,Tjp3,0.582213084
Old,Tjp3,0.078060688
Old,Tjp3,1.308033882
Old,Tjp3,0.680010322
Old,Tjp3,1.00676153
Old,Tjp3,0.646573412
Old,Tjp3,0.801961356
Old,Tjp3,0.446717602
Old,Tjp3,0.216934904
Old+IAA,Tjp3,0.350266476
Old+IAA,Tjp3,0.323232429
Old+IAA,Tjp3,0.301209886
Old+IAA,Tjp3,0.293857938
Old+IAA,Tjp3,0.880854036
Old+IAA,Tjp3,0.849405113
Young,Cldn1,0.937118971
Young,Cldn1,1.125603626
Young,Cldn1,1.13974836
Young,Cldn1,0.900095554
Young,Cldn1,0.90224293
Young,Cldn1,1.090041212
Old,Cldn1,0.20821057
Old,Cldn1,0.088951671
Old,Cldn1,0.762755082
Old,Cldn1,0.063851127
Old,Cldn1,0.797190949
Old,Cldn1,0.089757928
Old+IAA,Cldn1,1.10977952
Old+IAA,Cldn1,0.641873905
Old+IAA,Cldn1,0.928988592
Old+IAA,Cldn1,1.580774846
Old+IAA,Cldn1,0.621987452
Old+IAA,Cldn1,1.096016579
Old+IAA,Cldn1,1.603134608
Young,Cldn2,0.69744088
Young,Cldn2,1.150629436
Young,Cldn2,1.876146262
Young,Cldn2,1.008606671
Young,Cldn2,1.412696419
Young,Cldn2,0.99051075
Old,Cldn2,0.453969259
Old,Cldn2,0.622243038
Old,Cldn2,0.711458911
Old,Cldn2,0.662839056
Old,Cldn2,1.037534962
Old,Cldn2,0.284706666
Old,Cldn2,0.712420334
Old,Cldn2,0.7889751
Old+IAA,Cldn2,1.245310645
Old+IAA,Cldn2,1.233613977
Old+IAA,Cldn2,0.685283658
Old+IAA,Cldn2,1.020089898
Old+IAA,Cldn2,0.661226132
Young,Cldn3,1.055488704
Young,Cldn3,1.086213902
Young,Cldn3,0.847320904
Young,Cldn3,1.261926839
Young,Cldn3,0.954491245
Young,Cldn3,0.894317691
Old,Cldn3,0.347909388
Old,Cldn3,0.881107654
Old,Cldn3,0.727732819
Old,Cldn3,0.757187353
Old,Cldn3,0.471071642
Old,Cldn3,0.337058308
Old+IAA,Cldn3,0.629353008
Old+IAA,Cldn3,0.593448216
Old+IAA,Cldn3,1.368634832
Old+IAA,Cldn3,1.017589566
Old+IAA,Cldn3,1.135009747
Old+IAA,Cldn3,0.906522897
Old+IAA,Cldn3,0.673995419
Young,Cldn4,0.784494949
Young,Cldn4,1.31217571
Young,Cldn4,0.81828254
Young,Cldn4,0.517163109
Young,Cldn4,0.770688822
Young,Cldn4,1.216939783
Young,Cldn4,1.083250964
Young,Cldn4,1.032683843
Old,Cldn4,0.519023451
Old,Cldn4,0.83911442
Old,Cldn4,0.319179601
Old,Cldn4,0.391581665
Old,Cldn4,0.330836114
Old,Cldn4,1.052529482
Old,Cldn4,0.992142551
Old,Cldn4,0.81185115
Old+IAA,Cldn4,0.488685617
Old+IAA,Cldn4,0.390476386
Old+IAA,Cldn4,0.351504673
Old+IAA,Cldn4,0.659842101
Old+IAA,Cldn4,0.389991939
Old+IAA,Cldn4,0.728925256
Young,Cldn5,0.365600232
Young,Cldn5,1.675841196
Young,Cldn5,0.731429607
Young,Cldn5,0.802282013
Young,Cldn5,0.704731128
Young,Cldn5,1.128482556
Young,Cldn5,1.203800436
Old,Cldn5,0.676539427
Old,Cldn5,0.478514656
Old,Cldn5,1.036708672
Old,Cldn5,1.269479702
Old,Cldn5,1.034035334
Old,Cldn5,0.928700166
Old,Cldn5,0.624535351
Old+IAA,Cldn5,0.397073921
Old+IAA,Cldn5,0.668183768
Old+IAA,Cldn5,0.540003652
Old+IAA,Cldn5,0.536538718
Young,Cldn6,0.66139459
Young,Cldn6,1.087924375
Young,Cldn6,0.82838695
Young,Cldn6,0.69019025
Young,Cldn6,1.071765102
Young,Cldn6,1.14056432
Young,Cldn6,1.38875153
Old,Cldn6,0.167163971
Old,Cldn6,0.321392286
Old,Cldn6,0.226939208
Old,Cldn6,0.643713233
Old,Cldn6,0.062705734
Old,Cldn6,0.376258372
Old,Cldn6,0.171355261
Old+IAA,Cldn6,0.316365037
Old+IAA,Cldn6,0.046409004
Old+IAA,Cldn6,0.134423027
Old+IAA,Cldn6,0.057329558
Old+IAA,Cldn6,1.125403304
Old+IAA,Cldn6,0.129980698
Young,Cldn7,0.169276013
Young,Cldn7,0.330355881
Young,Cldn7,0.274593485
Young,Cldn7,0.345278116
Young,Cldn7,0.400963383
Young,Cldn7,0.360647838
Young,Cldn7,0.715736708
Old,Cldn7,0.240215464
Old,Cldn7,0.306109352
Old,Cldn7,0.554072485
Old,Cldn7,0.408767256
Old,Cldn7,0.233526789
Old,Cldn7,0.643978598
Old,Cldn7,0.305259048
Old+IAA,Cldn7,0.257534926
Old+IAA,Cldn7,0.275897317
Old+IAA,Cldn7,0.285713152
Old+IAA,Cldn7,0.253007652
Old+IAA,Cldn7,0.328958609
Young,Cldn10,0.178988565
Young,Cldn10,0.517074318
Young,Cldn10,0.492999106
Young,Cldn10,0.174307497
Young,Cldn10,0.516361804
Young,Cldn10,0.43605284
Young,Cldn10,0.358389114
Old,Cldn10,0.086706564
Old,Cldn10,0.186845864
Old,Cldn10,0.228106505
Old,Cldn10,0.235633464
Old,Cldn10,0.094711194
Old,Cldn10,0.263926778
Old+IAA,Cldn10,0.378409277
Old+IAA,Cldn10,0.483116819
Old+IAA,Cldn10,0.240327557
Old+IAA,Cldn10,0.31723815
Old+IAA,Cldn10,0.506133645
Young,Ocln,0.647170385
Young,Ocln,0.387347634
Young,Ocln,0.759813959
Young,Ocln,1.099617182
Young,Ocln,1.338253426
Old,Ocln,1.743431634
Old,Ocln,0.162530094
Old,Ocln,0.644708366
Old,Ocln,1.012920307
Old,Ocln,0.892507322
Old+IAA,Ocln,0.624143
Old+IAA,Ocln,0.482318313
Old+IAA,Ocln,1.353912127
Old+IAA,Ocln,0.539269998
Old+IAA,Ocln,0.139489666
Old+IAA,Ocln,0.429984506
Old+IAA,Ocln,0.830908604
