group,name,value
DOXO,p16,1.0445611
DOXO,p16,1.424359369
DOXO,p16,0.725536137
DOXO,p16,0.949032822
DOXO,p16,1.113626898
DOXO,p16,0.876529591
DOXO+IAA,p16,0.118092789
DOXO+IAA,p16,0.129985086
DOXO+IAA,p16,0.44052799
DOXO+IAA,p16,0.375905981
DOXO+IAA,p16,0.376465332
DOXO+IAA,p16,0.327991061
shAhr+DOXO,p16,2.165001004
shAhr+DOXO,p16,2.111047155
shAhr+DOXO,p16,3.508038521
shAhr+DOXO,p16,3.889208322
shAhr+DOXO,p16,2.312112501
shAhr+DOXO,p16,2.459368349
shAhr+DOXO+IAA,p16,2.696757759
shAhr+DOXO+IAA,p16,2.268525909
shAhr+DOXO+IAA,p16,1.63420018
shAhr+DOXO+IAA,p16,2.68434803
shAhr+DOXO+IAA,p16,1.172803486
shAhr+DOXO+IAA,p16,2.040853923
DOXO,p21,1.028867273
DOXO,p21,1.22121159
DOXO,p21,1.065218492
DOXO,p21,1.07207058
DOXO,p21,0.663416115
DOXO,p21,1.050513499
DOXO+IAA,p21,0.570106273
DOXO+IAA,p21,0.507636604
DOXO+IAA,p21,0.57329738
DOXO+IAA,p21,0.810831351
DOXO+IAA,p21,0.627161508
DOXO+IAA,p21,0.597871938
shAhr+DOXO,p21,1.867266302
shAhr+DOXO,p21,1.158910219
shAhr+DOXO,p21,2.400183304
shAhr+DOXO,p21,2.117418606
shAhr+DOXO,p21,1.691404353
shAhr+DOXO,p21,1.649990627
shAhr+DOXO+IAA,p21,2.038751495
shAhr+DOXO+IAA,p21,1.426980022
shAhr+DOXO+IAA,p21,1.782441485
shAhr+DOXO+IAA,p21,1.416510928
shAhr+DOXO+IAA,p21,2.14497569
shAhr+DOXO+IAA,p21,1.853308336
DOXO,Mucin2,1.069955672
DOXO,Mucin2,0.752553639
DOXO,Mucin2,0.790939828
DOXO,Mucin2,0.990053381
DOXO,Mucin2,1.131756627
DOXO,Mucin2,1.401333975
DOXO+IAA,Mucin2,1.015660794
DOXO+IAA,Mucin2,1.353406853
DOXO+IAA,Mucin2,1.39757441
DOXO+IAA,Mucin2,1.374544429
DOXO+IAA,Mucin2,1.074378214
DOXO+IAA,Mucin2,0.904237815
shAhr+DOXO,Mucin2,0.2116435
shAhr+DOXO,Mucin2,0.120465597
shAhr+DOXO,Mucin2,0.324978831
shAhr+DOXO,Mucin2,0.40096833
shAhr+DOXO,Mucin2,0.56216931
shAhr+DOXO,Mucin2,0.221432873
shAhr+DOXO+IAA,Mucin2,0.124053663
shAhr+DOXO+IAA,Mucin2,0.202173546
shAhr+DOXO+IAA,Mucin2,0.275191809
shAhr+DOXO+IAA,Mucin2,0.351560714
shAhr+DOXO+IAA,Mucin2,0.491236887
shAhr+DOXO+IAA,Mucin2,0.341323299
DOXO,Occludin,1.19260273
DOXO,Occludin,1.118499936
